username, created_at, lng, lat, text
LaurenFlans, Fri Apr 24 06:13:08 +0000 2020, -118.411907, 34.020789, Also, I *literally* just noticed that he changed his screen name to "FARTS" jfc Flaum 🤣 
mostoutmire, Fri Apr 24 06:13:08 +0000 2020, -122.419000, 37.779300, Posted withregram • @toweandrew God is opening doors that in past seasons were locked off to you. He is giving you… https://t.co/1U9yIdGqka 
Gabriellaraneee, Fri Apr 24 06:13:08 +0000 2020, -95.692541, 29.559427, I’m coming for necks and I want all the smoke when I start showing y’all the nails I’m gonna do 😭 
I_need_more_you, Fri Apr 24 06:13:08 +0000 2020, -118.411907, 34.020789, pablo escobar sounded like daddy but look at this nigga lmaoo https://t.co/sK1xWbVFfb 
pri_kachuu, Fri Apr 24 06:13:08 +0000 2020, -122.330602, 47.614817, @TheIceyGlaceon Ooohh!! Okk!I'm still very beginner but sounds like something fun!! 
ashcamile, Fri Apr 24 06:13:08 +0000 2020, -118.346153, 33.953633, @harleygetpaid is it hittin tho 
OhHeyImWhitni, Fri Apr 24 06:13:08 +0000 2020, -95.446486, 29.838495, He look just like his mama 
JerseyTigerFan, Fri Apr 24 06:13:08 +0000 2020, -74.012066, 40.888461, @davidaxelrod Question is: why didn’t she?https://t.co/Q92XhIhRiS 
sweetlilbaby666, Fri Apr 24 06:13:09 +0000 2020, -87.980668, 41.887738, why am i so irritable 
Kiaxet, Fri Apr 24 06:13:09 +0000 2020, -118.411907, 34.020789, BT out here lying to Mimiru to make her the middleman in this trap. https://t.co/Xn07a08UWj 
anton_ferrara, Fri Apr 24 06:13:10 +0000 2020, -96.699604, 33.194651, @ScooterMagruder Give up, we’re not getting Jamal, jets wont let him go 
ChefHerb, Fri Apr 24 06:13:10 +0000 2020, -95.387000, 30.054100, Ever had that moment to where you were cleaning out the leftovers with expired dates in the refrigerator...and then… https://t.co/xVTvuOlZ5q 
docuvixen, Fri Apr 24 06:13:10 +0000 2020, -79.349610, 43.667750, Oh the lockdown day the hope is 👉🏿👉🏿👉🏿 Posted withregram • shadow_act Doing ALL the things, because it feels like w… https://t.co/1QsIKOTLRK 
irenecnwoye, Fri Apr 24 06:13:10 +0000 2020, -77.014398, 38.898603, When he invites you to self-isolate together but you love your space too much https://t.co/JLOAN262D5 
QTP213, Fri Apr 24 06:13:10 +0000 2020, -90.046692, 34.948131, 👀 
joeyfangaz, Fri Apr 24 06:13:10 +0000 2020, -117.104989, 32.810012, This right here. Waifu.🤣 
xxxavier71, Fri Apr 24 06:13:10 +0000 2020, -100.640491, 25.805723, @1000ManerasDM 😂😂😂😂 
panmermaid, Fri Apr 24 06:13:10 +0000 2020, -76.865983, 38.852764, @lilsumsum_ @lala_lucy31 same shit im saying lmao, hello 
